,states,states_code,id,year,population
145,Portugal,PRT,21,2017,4886
146,Romania,ROU,22,2017,-64758
147,Slovenia,SVN,23,2017,1253
148,Slovakia,SVK,24,2017,3722
149,Finland,FIN,25,2017,14824
150,Sweden,SWE,26,2017,98869
151,Iceland,ISL,27,2017,8475
152,Liechtenstein,LIE,28,2017,219
153,Norway,NOR,29,2017,21388
154,Switzerland,CHE,30,2017,18380
155,Belgium,BEL,0,2018,48925
156,Bulgaria,BGR,1,2018,-3666
157,Czechia,CZE,2,2018,39168
158,Denmark,DNK,3,2018,4288
159,Germany,DEU,4,2018,353471
160,Estonia,EST,5,2018,7071
161,Ireland,IRL,6,2018,43977
162,Greece,GRC,7,2018,16440
163,Spain,ESP,8,2018,334158
164,France,FRA,9,2018,86490
165,Croatia,HRV,10,2018,-13486
166,Italy,ITA,11,2018,175364
167,Cyprus,CYP,12,2018,8102
168,Latvia,LVA,13,2018,-4905
169,Lithuania,LTU,14,2018,-3292
170,Luxembourg,LUX,15,2018,10659
171,Hungary,HUN,16,2018,34759
172,Malta,MLT,17,2018,17102
173,Netherlands,NLD,18,2018,84671
174,Austria,AUT,19,2018,38421
175,Poland,POL,20,2018,24289
176,Portugal,PRT,21,2018,11570
177,Romania,ROU,22,2018,-59083
178,Slovenia,SVN,23,2018,14928
179,Slovakia,SVK,24,2018,3955
180,Finland,FIN,25,2018,11965
181,Sweden,SWE,26,2018,85621
182,Iceland,ISL,27,2018,7458
183,Liechtenstein,LIE,28,2018,165
184,Norway,NOR,29,2018,20706
185,Switzerland,CHE,30,2018,14632
186,Belgium,BEL,0,2019,47070
187,Bulgaria,BGR,1,2019,-2012
188,Czechia,CZE,2,2019,28090
189,Denmark,DNK,3,2019,-5136
190,Germany,DEU,4,2019,310022
191,Estonia,EST,5,2019,5458
192,Ireland,IRL,6,2019,23626
193,Greece,GRC,7,2019,34439
194,Spain,ESP,8,2019,454232
195,France,FRA,9,2019,86490
196,Croatia,HRV,10,2019,-2422
197,Italy,ITA,11,2019,153273
198,Cyprus,CYP,12,2019,8797
199,Latvia,LVA,13,2019,-3360
200,Lithuania,LTU,14,2019,10794
201,Luxembourg,LUX,15,2019,11075
202,Hungary,HUN,16,2019,38786
203,Malta,MLT,17,2019,20343
204,Netherlands,NLD,18,2019,107850
205,Austria,AUT,19,2019,40887
206,Poland,POL,20,2019,46055
207,Portugal,PRT,21,2019,44506
208,Romania,ROU,22,2019,-31314
209,Slovenia,SVN,23,2019,16213
210,Slovakia,SVK,24,2019,3632
211,Finland,FIN,25,2019,15495
212,Sweden,SWE,26,2019,68087
213,Iceland,ISL,27,2019,5282
214,Liechtenstein,LIE,28,2019,281
215,Norway,NOR,29,2019,25473
216,Switzerland,CHE,30,2019,18908
217,Belgium,BEL,0,2020,42121
218,Bulgaria,BGR,1,2020,30715
219,Czechia,CZE,2,2020,27241
220,Denmark,DNK,3,2020,3408
221,Germany,DEU,4,2020,240468
222,Estonia,EST,5,2020,3782
223,Ireland,IRL,6,2020,18269
224,Greece,GRC,7,2020,6384
225,Spain,ESP,8,2020,219357
226,France,FRA,9,2020,138440
227,Croatia,HRV,10,2020,-632
228,Italy,ITA,11,2020,87642
229,Cyprus,CYP,12,2020,4493
230,Latvia,LVA,13,2020,-3150
231,Lithuania,LTU,14,2020,19993
232,Luxembourg,LUX,15,2020,7620
233,Hungary,HUN,16,2020,8106
234,Malta,MLT,17,2020,1206
235,Netherlands,NLD,18,2020,79742
236,Austria,AUT,19,2020,40984
237,Poland,POL,20,2020,48949
238,Portugal,PRT,21,2020,41274
239,Romania,ROU,22,2020,-41299
240,Slovenia,SVN,23,2020,18365
241,Slovakia,SVK,24,2020,4347
242,Finland,FIN,25,2020,17814
243,Sweden,SWE,26,2020,33581
244,Iceland,ISL,27,2020,2535
245,Liechtenstein,LIE,28,2020,281
246,Norway,NOR,29,2020,14840
247,Switzerland,CHE,30,2020,29402
248,Belgium,BEL,0,2021,52471
249,Bulgaria,BGR,1,2021,12706
250,Czechia,CZE,2,2021,50730
251,Denmark,DNK,3,2021,19481
252,Germany,DEU,4,2021,331205
253,Estonia,EST,5,2021,7043
254,Ireland,IRL,6,2021,28303
255,Greece,GRC,7,2021,-22476
256,Spain,ESP,8,2021,191094
257,France,FRA,9,2021,159370
258,Croatia,HRV,10,2021,-4512
259,Italy,ITA,11,2021,160054
260,Cyprus,CYP,12,2021,5591
261,Latvia,LVA,13,2021,-286
262,Lithuania,LTU,14,2021,19653
263,Luxembourg,LUX,15,2021,9376
264,Hungary,HUN,16,2021,12472
265,Malta,MLT,17,2021,4639
266,Netherlands,NLD,18,2021,103763
267,Austria,AUT,19,2021,51212
268,Poland,POL,20,2021,39521
269,Portugal,PRT,21,2021,25642
270,Romania,ROU,22,2021,-22219
271,Slovenia,SVN,23,2021,2480
272,Slovakia,SVK,24,2021,2338
273,Finland,FIN,25,2021,22905
274,Sweden,SWE,26,2021,42347
275,Iceland,ISL,27,2021,4335
276,Liechtenstein,LIE,28,2021,153
277,Norway,NOR,29,2021,19650
278,Switzerland,CHE,30,2021,28138
279,Belgium,BEL,0,2022,123729
280,Bulgaria,BGR,1,2022,27444
281,Czechia,CZE,2,2022,315665
282,Denmark,DNK,3,2022,58256
283,Germany,DEU,4,2022,1538205
284,Estonia,EST,5,2022,39757
285,Ireland,IRL,6,2022,96404
286,Greece,GRC,7,2022,16355
287,Spain,ESP,8,2022,727005
288,France,FRA,9,2022,181662
289,Croatia,HRV,10,2022,11685
290,Italy,ITA,11,2022,260796
291,Cyprus,CYP,12,2022,13094
292,Latvia,LVA,13,2022,22028
293,Lithuania,LTU,14,2022,72097
294,Luxembourg,LUX,15,2022,14206
295,Hungary,HUN,16,2022,35740
296,Malta,MLT,17,2022,21798
297,Netherlands,NLD,18,2022,217182
298,Austria,AUT,19,2022,127351
299,Poland,POL,20,2022,47509
300,Portugal,PRT,21,2022,86889
301,Romania,ROU,22,2022,90713
302,Slovenia,SVN,23,2022,14657
303,Slovakia,SVK,24,2022,995
304,Finland,FIN,25,2022,34363
305,Sweden,SWE,26,2022,51844
306,Iceland,ISL,27,2022,9787
307,Liechtenstein,LIE,28,2022,290
308,Norway,NOR,29,2022,57939
309,Switzerland,CHE,30,2022,44956
